iter	Passed	Remaining
0	68	20545
1	153	22870
2	226	22378
3	296	21973
4	351	20714
5	424	20824
6	486	20345
7	551	20125
8	625	20225
9	704	20437
10	768	20179
11	826	19847
12	885	19556
13	946	19345
14	1005	19108
15	1071	19024
16	1141	19001
17	1204	18864
18	1263	18692
19	1323	18533
20	1397	18562
21	1460	18460
22	1528	18408
23	1586	18246
24	1649	18141
25	1721	18138
26	1782	18021
27	1840	17877
28	1900	17760
29	1953	17577
30	2009	17440
31	2074	17372
32	2136	17282
33	2198	17202
34	2254	17070
35	2312	16961
36	2435	17313
37	2779	19162
38	2937	19657
39	2994	19465
40	3055	19302
41	3123	19186
42	3181	19015
43	3242	18865
44	3302	18713
45	3363	18575
46	3428	18455
47	3487	18306
48	3541	18142
49	3606	18034
50	3669	17913
51	3741	17842
52	3799	17706
53	3875	17653
54	3938	17545
55	4001	17435
56	4066	17335
57	4125	17214
58	4185	17096
59	4250	17000
60	4303	16860
61	4353	16713
62	4397	16541
63	4451	16414
64	4510	16308
65	4564	16183
66	4620	16067
67	4674	15949
68	4739	15867
69	4793	15750
70	4848	15638
71	4906	15537
72	4966	15444
73	5023	15342
74	5075	15225
75	5138	15145
76	5204	15071
77	5259	14969
78	5315	14869
79	5373	14777
80	5432	14686
81	5490	14597
82	5561	14540
83	5615	14440
84	5680	14367
85	5737	14276
86	5792	14181
87	5851	14097
88	5910	14011
89	5970	13930
90	6028	13845
91	6078	13743
92	6135	13656
93	6196	13578
94	6245	13477
95	6299	13386
96	6364	13320
97	6430	13254
98	6487	13171
99	6549	13099
100	6615	13034
101	6680	12967
102	6738	12888
103	6805	12826
104	6863	12747
105	6929	12682
106	6967	12567
107	7025	12489
108	7087	12420
109	7139	12332
110	7195	12251
111	7249	12168
112	7314	12105
113	7373	12030
114	7423	11941
115	7490	11881
116	7544	11801
117	7602	11725
118	7660	11651
119	7720	11580
120	7777	11506
121	7839	11437
122	7895	11361
123	7954	11290
124	8012	11217
125	8080	11158
126	8134	11080
127	8188	11003
128	8246	10931
129	8310	10867
130	8358	10782
131	8401	10692
132	8443	10602
133	8481	10507
134	8513	10404
135	8548	10308
136	8577	10205
137	8600	10096
138	8628	9994
139	8668	9907
140	8699	9810
141	8727	9711
142	8771	9630
143	8811	9546
144	8845	9455
145	8886	9373
146	8934	9298
147	8974	9216
148	9007	9128
149	9037	9037
150	9070	8950
151	9101	8861
152	9139	8781
153	9178	8701
154	9211	8617
155	9246	8535
156	9283	8455
157	9317	8373
158	9351	8293
159	9402	8226
160	9442	8152
161	9489	8083
162	9524	8005
163	9563	7931
164	9592	7848
165	9620	7765
166	9648	7683
167	9673	7600
168	9703	7521
169	9730	7441
170	9758	7361
171	9793	7288
172	9820	7209
173	9845	7129
174	9873	7052
175	9905	6978
176	9932	6902
177	9965	6829
178	9992	6754
179	10021	6681
180	10055	6611
181	10084	6538
182	10123	6472
183	10152	6400
184	10179	6327
185	10217	6262
186	10255	6196
187	10298	6135
188	10339	6072
189	10384	6012
190	10416	5944
191	10442	5873
192	10472	5806
193	10493	5733
194	10514	5661
195	10534	5589
196	10556	5519
197	10584	5452
198	10610	5385
199	10633	5316
200	10658	5249
201	10682	5182
202	10705	5115
203	10727	5048
204	10750	4982
205	10771	4915
206	10794	4849
207	10817	4784
208	10839	4719
209	10862	4655
210	10883	4590
211	10905	4526
212	10926	4462
213	10949	4400
214	11050	4368
215	11076	4307
216	11097	4244
217	11121	4183
218	11144	4121
219	11164	4059
220	11184	3997
221	11204	3936
222	11225	3876
223	11244	3815
224	11266	3755
225	11285	3695
226	11303	3635
227	11324	3576
228	11342	3516
229	11385	3465
230	11407	3407
231	11431	3350
232	11451	3292
233	11470	3235
234	11490	3178
235	11514	3122
236	11538	3067
237	11556	3010
238	11574	2954
239	11590	2897
240	11609	2842
241	11629	2787
242	11652	2733
243	11671	2678
244	11689	2624
245	11792	2588
246	11814	2535
247	11834	2481
248	11857	2428
249	11876	2375
250	11894	2322
251	11914	2269
252	11931	2216
253	11948	2163
254	11964	2111
255	11981	2059
256	11997	2007
257	12015	1956
258	12034	1905
259	12058	1855
260	12076	1804
261	12095	1754
262	12113	1704
263	12132	1654
264	12148	1604
265	12165	1554
266	12183	1505
267	12199	1456
268	12214	1407
269	12231	1359
270	12250	1310
271	12268	1262
272	12290	1215
273	12312	1168
274	12346	1122
275	12370	1075
276	12395	1029
277	12412	982
278	12429	935
279	12448	889
280	12467	842
281	12492	797
282	12512	751
283	12533	706
284	12549	660
285	12568	615
286	12586	570
287	12604	525
288	12623	480
289	12643	435
290	12664	391
291	12683	347
292	12701	303
293	12723	259
294	12739	215
295	12757	172
296	12775	129
297	12791	85
298	12807	42
299	12825	0
296	18408	185
297	18451	123
298	18496	61
299	18522	0
